entity_name,location,inspection_date,good_practices,non_compliances,action_taken,score_obtained,score_total,score_percent,finding_severity,notice_issued,source_handle,post_url,post_date,media_urls,raw_text
Pakwan Grand Restaurant,Raidurg,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Godavari Ghumaghumalu,Hafeezpet,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Sri Krishna Family Dhaba,Gopanpally,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Sri Sai Mess (Babai Hotel),Kondapur,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Lucky Restaurant,Pragathi Nagar,,,Operating without an FSSAI licence|Heavy cockroach infestation|Unhygienic conditions,"Closed — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103106700400320522,2026-09-24,,"TG SAFE special enforcement drive, Core Urban Region, reported 24 Sep 2026: 8 teams of Food Safety Officers and police inspected 15 establishments and lifted 16 samples. The post names each establishment and the action taken; it lists the violations for the drive as a whole (food kept in unhygienic conditions, spoiled or contaminated vegetables, improper refrigerator maintenance, expired or contaminated articles, rotten vegetables, unsafe storage, pest infestation, wet and untidy flooring, poor food-handler hygiene, greasy exhausts and chimneys, improper drainage, cleaning, labelling and record maintenance) without saying which applied where."
Monastery,Hitech City,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Al Saba Restaurant,Gachibowli,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Sai Ram Mess,Madhapur,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Coal Spark,Hitech City,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Antera Hospitality (Antera Kitchen & Bar),Gachibowli,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Sukdham Hospitality (Fusion 9 / Amnesia Sky Bar),Inorbit Mall,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Priyanka Hospitality (Shivani Restaurant & Bar),Gachibowli,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Lucky Multicuisine,Madhapur,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Udupi's Upahar,Gachibowli,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Kkkonka Food & Beverages (Kanchi Cafe),Hitech City,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Onamau Food & Beverages (Am Aha Telugu Kitchen & Bar),Inorbit Mall,,,,"FSSAI licence being suspended — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Critical,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
White Elephant Food Works (63 Degrees Modern Regional Buffet),Gachibowli,,,,"Show-cause notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Celest Hospitality Pvt Ltd (Minerva Grand),Kondapur,,,,"Show-cause notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Hotel Avasa,Hitech City,,,,"Show-cause notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Rameshwaram Cafe,Madhapur,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Sahibs Barbeque,Hitech City,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Hotel Shadab,Gachibowli,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Viruntha Foods (Ishtaa),Gachibowli,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Pakka Local,Hitech City,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
Shah Ghouse Hotel,Gachibowli,,,,"Improvement notice issued — as reported by TG SAFE (special enforcement drive, Core Urban Region)",,,,Major,yes,c_tgsafe,https://x.com/c_tgsafe/status/2103863030811332774,2026-09-26,,"TG SAFE special enforcement drive, Core Urban Region (Madhapur, Hitech City and Gachibowli), reported 26 Sep 2026: 10 teams of Food Safety Officers inspected 20 establishments and lifted 21 samples. The post names each establishment and the action taken; it lists the lapses for the drive as a whole (pest infestation, expired food articles, poor hygiene, missing records, greasy exhausts, flaky walls and improper labelling) without saying which applied where."
